id,name,size,city,employee_count
3635,Compucom,6,Fort Mill,12320
3638,University of Maryland,7,College Park,8702
3643,MicroStrategy,5,Tysons Corner,19277
3653,Lenovo,7,Beijing,3455
3658,Penn State Health,7,Hershey,40473
3667,Verint,6,Melville,28732
3670,Block Advisors,5,Kansas City,6389
3671,H&R Block,7,Kansas City,3999
3672,CACI International Inc,7,Reston,1293
3677,Edward Jones,7,St. Louis,16063
3678,Corning Incorporated,7,Corning,19012
3681,Fluor Corporation,7,Irving,39710
3684,Mastech Digital,5,Moon Township,18780
3690,Micron Technology,7,Boise,33260
3695,Equifax,7,Atlanta,971
3724,the LEGO Group,7,Billund,26043
3741,Korn Ferry,7,Los Angeles,14190
3743,RSM US LLP,7,Chicago,17597
3745,ZF Group,7,Friedrichshafen,16494
3748,adidas,7,Herzogenaurach,17811
3757,University of North Carolina at Chapel Hill,7,Chapel Hill,62212
3758,University of North Carolina System,7,Raleigh,56591
3762,Discover Financial Services,7,Riverwoods,18147
3765,GroupM,7,New York,3041
3768,University of Colorado Denver,6,Denver,18966
3770,University of Colorado,7,Denver,16938
3771,University of Colorado Boulder,6,Boulder,4698
3776,Epsilon,6,Irving,4094
3789,John Deere,7,Moline,13535
3796,AllianceBernstein,5,Nashville,9061
3831,Northern Trust Corporation,7,Chicago,55806
3843,Hitachi,7,Chiyoda-ku,4781
3845,Swiss Re,7,Zurich,27171
3848,MITRE,6,McLean,23743
3863,Grainger,7,Lake Forest,14294
3866,FedEx Office,7,Plano,10094
3881,University of Chicago,7,Chicago,19320
3888,Emory Healthcare,7,Atlanta,9695
3889,Emory University,7,Atlanta,15646
3894,ASML,7,Veldhoven,13162
3896,Dassault Syst̬mes,7,V̩lizy-Villacoublay,13962
3915,The Goodyear Tire & Rubber Company,7,Akron,36267
3920,Protiviti,5,Menlo Park,25118
3925,Akamai Technologies,6,Cambridge,24513
3961,Biogen,6,Cambridge,11996
3980,Houghton Mifflin Harcourt,5,Boston,9216
3994,WTW,7,London,8988
3997,Aflac,7,Columbus,5728
3998,Syngenta,7,Basel,49491
4035,Brigham Young University,5,Provo,18837
4037,TIAA,7,New York,34249
4057,IQVIA,7,Durham,14152
4059,The Est̩e Lauder Companies Inc.,7,New York,13530
4060,Cushman & Wakefield,7,Chicago,73265
4062,Faurecia,7,Nanterre,39363
4066,Duke Energy Corporation,7,Charlotte,40637
4075,Sun Life,7,0,33798
4097,"American Honda Motor Company, Inc.",7,Torrance,24261
4099,University of Wisconsin-Madison,7,Madison,34339
4100,Starcom,6,Chicago,11847
4101,Michelin,7,Clermont-Ferrand,26373
4114,Solvay,7,Brussels,6171
4122,Pottery Barn,7,San Francisco,42599
4126,SGS,7,Geneva,19357
4128,"Lowe's Companies, Inc.",7,Mooresville,2899
4156,Air Products,7,Trexlertown,57799
4167,PNC,7,Pittsburgh,145043
4187,Norsk Hydro,7,Oslo,14949
4207,Raymond James,7,St. Petersburg,66604
4220,Ohio Department of Development,3,Columbus,11057
4222,TTEC,7,Greenwood Village,16334
4224,Regions Bank,7,Birmingham,282
4255,Paychex,7,Rochester,35115
4256,CAE,7,Montr̩al,20832
4257,Humana,7,Louisville,16772
4292,Arizona State University,7,Tempe,11380
4293,AMC Networks,5,New York,42762
4296,DISH Network,7,Englewood,26306
4297,UVA Health,6,Charlottesville,2487
4298,University of Virginia,7,Charlottesville,22952
4307,Lincoln Financial Group,7,Radnor,7886
4324,Herc Rentals,6,Bonita Springs,14140
4326,Hertz,7,Estero,10309
4334,Baker Hughes,7,Houston,4039
4335,Skanska,7,Stockholm,18574
4346,FleishmanHillard,5,St. Louis,62503
4376,Manhattan Associates,5,Atlanta,22297
4399,Principal Financial Group,7,Des Moines,2509
4416,Primerica,5,Duluth,4281
4419,UCI Health,6,Orange,21347
4422,DLA Piper,6,London,17466
4433,Aquent,7,Boston,3837
4440,Nomura,7,Tokyo,12898
4446,Aspen Technology,5,Bedford,3297
4453,"Ryder System, Inc.",7,Miami,13989
4465,Qantas,7,Mascot,4213
4500,LTI - Larsen & Toubro Infotech,7,Mumbai,21432
4505,Scholastic,6,New York,15385
4510,Anheuser-Busch,7,St. Louis,32854
4512,UMass Chan Medical School,6,Worcester,8461
4513,Campbell's,7,Camden,6795
4529,Houston Methodist,7,Houston,5753
4541,National Football League (NFL),5,New York,10144
4556,Texas A&M University,7,College Station,16008
4564,Vanderbilt University Medical Center,7,Nashville,4890
4565,Vanderbilt University,5,Nashville,24389
4591,Parker Hannifin,7,Cleveland,17670
4592,SKF Group,7,G̦teborg,11826
4593,Western Digital,7,San Jose,33892
4622,CNH Industrial,7,0,17539
4647,American Family Insurance,7,Madison,27168
4667,"The North Face, a VF Company",5,Denver,27931
4668,Nautica,3,New York,17565
4670,VF Corporation,7,Denver,4162
